#
# WASP-12b TTV Data
#
# Source: Wong et al. 2022, AJ, 163, 175
#         Data provided by Ian Wong
#
# dP/dE = (-1.031+/-0.033)e-9 day/orbit (eqn 8c)
#
# Col 1: transit epoch [integer]
# Col 2: transit center time in BJD_TDB days
# Col 3: error in transit center time in days
# Col 4: O-C from linear ephemeris in minutes
#
Epoch    t_0              err_t0     O-C
  971    2458163.05089    0.00034    0.0531
  974    2458166.32575    0.00034    0.9211
  985    2458178.33104    0.00038    0.4602
 1199    2458411.89495    0.00040    0.7830
 1254    2458471.92257    0.00026    0.1637
 1275    2458494.84270    0.00030    0.6375
 1286    2458506.84758    0.00044    -0.4137
 1595    2458844.09668    0.00046    0.4508
 1596    2458845.18772    0.00042    -0.0951
 1597    2458846.27969    0.00053    0.6983
 1598    2458847.37086    0.00049    0.3396
 1599    2458848.46246    0.00047    0.6001
 1600    2458849.55305    0.00045    -0.5938
 1601    2458850.64500    0.00054    0.1707
 1602    2458851.73597    0.00054    -0.4760
 1603    2458852.82816    0.00044    0.6341
 1604    2458853.91929    0.00045    0.2178
 1609    2458859.37709    0.00049    1.2323
 1610    2458860.46813    0.00045    0.6864
 1611    2458861.55807    0.00047    -1.4435
 1612    2458862.65051    0.00055    0.0267
 1613    2458863.74202    0.00058    0.1576
 1614    2458864.83386    0.00049    0.7637
 1615    2458865.92430    0.00047    -0.6462
 1616    2458867.01609    0.00051    -0.1121
 1617    2458868.10758    0.00043    -0.0100
 2173    2459474.93462    0.00046    -2.8548
 2174    2459476.02746    0.00056    -0.8086
 2175    2459477.11831    0.00050    -1.6281
 2177    2459479.30082    0.00047    -2.1007
 2178    2459480.39281    0.00048    -1.2786
 2179    2459481.48348    0.00051    -2.3573
 2180    2459482.57475    0.00049    -2.5720
 2181    2459483.66690    0.00051    -1.5195
 2182    2459484.75830    0.00048    -1.5470
 2185    2459488.03344    0.00046    -0.2759
 2186    2459489.12326    0.00051    -2.5786
 2187    2459490.21514    0.00042    -1.9149
 2188    2459491.30624    0.00048    -2.3744
 2189    2459492.39827    0.00051    -1.4947
 2190    2459493.48919    0.00043    -2.2133
 2191    2459494.58116    0.00052    -1.4200
 2192    2459495.67260    0.00047    -1.3899
 2193    2459496.76348    0.00049    -2.1662
 2197    2459501.12937    0.00051    -1.8586
 2198    2459502.22115    0.00043    -1.3389
 2199    2459503.31271    0.00045    -1.1360
 2200    2459504.40350    0.00047    -2.0419
 2201    2459505.49468    0.00059    -2.3862
 2202    2459506.58620    0.00051    -2.2409
 2203    2459507.67798    0.00045    -1.7212
 2204    2459508.76993    0.00048    -0.9567
 2205    2459509.86066    0.00045    -1.9489
 2206    2459510.95217    0.00056    -1.8180
 2210    2459515.31724    0.00049    -2.6912
 2211    2459516.40891    0.00053    -2.3299
 2212    2459517.50098    0.00060    -1.3926
 2213    2459518.59247    0.00048    -1.2905
 2214    2459519.68224    0.00057    -3.6652
 2216    2459521.86571    0.00042    -2.7554
 2217    2459522.95725    0.00057    -2.5813
 2218    2459524.04947    0.00039    -1.4280
 2221    2459527.32351    0.00043    -1.7408
 2222    2459528.41517    0.00054    -1.3939
 2223    2459529.50671    0.00055    -1.2198
 2224    2459530.59839    0.00057    -0.8441
 2225    2459531.68987    0.00052    -0.7564
 2226    2459532.78034    0.00048    -2.1231
 2227    2459533.87187    0.00054    -1.9634
 2228    2459534.96448    0.00046    -0.2485
 2229    2459536.05478    0.00052    -1.8600
 2230    2459537.14683    0.00055    -0.9515
 2233    2459540.42054    0.00047    -1.7396
 2234    2459541.51151    0.00041    -2.3863
 2235    2459542.60447    0.00048    -0.1673
 2236    2459543.69504    0.00046    -1.3900
 2238    2459545.87708    0.00049    -2.5394
 2239    2459546.96868    0.00044    -2.2789
 2240    2459548.06099    0.00055    -0.9960
 2241    2459549.15196    0.00049    -1.6427
 2242    2459550.24370    0.00054    -1.1806
