#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  1.67233551  0.773282707  0.545761287  0.609979391
  1.68836761  0.769602597  0.545893669  0.610857308
  1.7043997  0.765974402  0.546005845  0.611696601
  1.7204318  0.76239717  0.546098351  0.612498403
  1.7364639  0.758869529  0.546171725  0.613263309
  1.752496  0.755390465  0.546226382  0.613991618
  1.7685281  0.751958728  0.546262562  0.614684463
  1.7845602  0.748573422  0.546280921  0.6153422
  1.8005923  0.745233417  0.54628163  0.615965605
  1.8166244  0.741937697  0.546265304  0.616555154
  1.8326565  0.73868531  0.546232164  0.617111325
  1.8486886  0.735475302  0.546182632  0.617635131
  1.8647207  0.732306838  0.546117127  0.618127108
  1.8807528  0.729179025  0.546036065  0.618587554
  1.8967849  0.726090848  0.545939565  0.619017065
  1.912817  0.723041594  0.545828044  0.619416714
  1.9288491  0.720030487  0.545701981  0.619786203
  1.9448812  0.717056632  0.545561671  0.620126486
  1.9609133  0.714119375  0.545407295  0.620438397
  1.9769454  0.71121788  0.545239329  0.620722175
  1.9929775  0.708351493  0.545057952  0.620978057
  2.0090096  0.705519438  0.544863522  0.621207356
  2.02504158  0.702721179  0.544656396  0.621409833
  2.04107356  0.699955881  0.544436693  0.621586025
  2.05710554  0.697223008  0.544204891  0.621736467
  2.07313752  0.694521904  0.543961227  0.621862233
  2.0891695  0.691851974  0.543705821  0.621963382
  2.10520148  0.689212561  0.54343915  0.622040033
  2.12123346  0.686603129  0.543161273  0.622092903
  2.13726544  0.684023082  0.542872548  0.622122765
  2.15329742  0.681472003  0.542573273  0.622129202
  2.1693294  0.678949118  0.542263508  0.622113645
  2.18536139  0.676454186  0.541943789  0.622075796
  2.20139337  0.673986435  0.541613996  0.62201637
  2.21742535  0.671545565  0.541274667  0.621936023
  2.23345733  0.669131041  0.54092586  0.621834636
  2.24948931  0.666742325  0.540567815  0.621712685
  2.26552129  0.66437906  0.54020083  0.621571302
  2.28155327  0.66204071  0.539825022  0.621409833
  2.29758525  0.659726858  0.539440632  0.621229053
  2.31361723  0.657437146  0.539047837  0.621029735
  2.32964921  0.655171156  0.538646996  0.620811522
  2.34568119  0.652928293  0.538237989  0.620575547
  2.36171317  0.650708377  0.537821233  0.620321453
  2.37774515  0.648510993  0.537396967  0.620050251
  2.39377713  0.646335661  0.536965132  0.619761407
  2.40980911  0.644182146  0.536526203  0.619456351
  2.42584109  0.642049968  0.536080122  0.619134963
  2.44187307  0.639938831  0.535627186  0.618796527
  2.45790505  0.637848377  0.535167515  0.618443131
  2.47393703  0.635778248  0.534701288  0.61807394
  2.48996902  0.633728206  0.534228683  0.617689788
  2.506001  0.631697834  0.533749819  0.617290497
  2.52203298  0.629686832  0.533264816  0.616877377
  2.53806496  0.627694905  0.532773972  0.616449177
  2.55409694  0.625721872  0.532277465  0.616007566
  2.57012892  0.623767197  0.531775177  0.615551829
  2.5861609  0.621830761  0.531267405  0.615083218
  2.60219288  0.619912326  0.530754387  0.614601076
  2.61822486  0.618011415  0.530236125  0.614105999
  2.63425684  0.616128027  0.529712856  0.613598883
  2.65028882  0.614261627  0.52918458  0.613079309
  2.6663208  0.612412155  0.528651536  0.612547398
  2.68235278  0.610579252  0.528113842  0.612003922
  2.69838476  0.608762741  0.527571619  0.611448765
  2.71441674  0.606962323  0.527024984  0.61088258
  2.73044872  0.60517782  0.526474059  0.61030513
  2.7464807  0.603408873  0.525918901  0.609717667
  2.76251268  0.601655424  0.52535975  0.609118342
  2.77854466  0.599917173  0.524796665  0.60850966
  2.79457664  0.598193944  0.524229765  0.607890487
  2.81060863  0.596485376  0.52365911  0.607261598
  2.82664061  0.594791412  0.523084879  0.606622994
  2.84267259  0.593111813  0.522507131  0.605975211
  2.85870457  0.59144634  0.521925926  0.605317771
  2.87473655  0.589794874  0.521341562  0.604651749
  2.89076853  0.588157058  0.52075386  0.603976786
  2.90680051  0.58653295  0.520163178  0.603292763
  2.92283249  0.584922135  0.519569457  0.602601647
  2.93886447  0.583324492  0.518972754  0.601901352
  2.95489645  0.581739902  0.518373311  0.601193666
  2.97092843  0.580168188  0.517771184  0.600477338
  2.98696041  0.578609109  0.517166376  0.599754274
  3.00299239  0.577062547  0.516559064  0.599023402
  3.01902437  0.575528264  0.51594919  0.598285258
  3.03505635  0.574006259  0.51533711  0.597540081
  3.05108833  0.572496176  0.514722586  0.596788228
  3.06712031  0.570998013  0.514105976  0.596029997
  3.08315229  0.569511533  0.51348722  0.595264733
  3.09918427  0.568036556  0.512866318  0.594493151
  3.11521626  0.566573024  0.512243509  0.593715668
  3.13124824  0.565120757  0.511618793  0.592932045
  3.14728022  0.563679576  0.510992289  0.592142761
  3.1633122  0.562249362  0.510364056  0.591347456
  3.17934418  0.560829997  0.509734035  0.590546846
  3.19537616  0.559421301  0.509102464  0.589740992
  3.21140814  0.558023214  0.508469403  0.588929594
  3.22744012  0.556635499  0.507834792  0.588113666
  3.2434721  0.555258095  0.507198751  0.587292373
  3.25950408  0.553890884  0.506561399  0.586466193
  3.27553606  0.552533746  0.505922794  0.585635543
  3.29156804  0.551186502  0.505282938  0.584800482
  3.30760002  0.549849093  0.50464195  0.58396095
  3.323632  0.54852134  0.503999829  0.583117366
  3.33966398  0.547203183  0.503356695  0.582269728
  3.35569596  0.545894444  0.502712548  0.581417739
  3.37172794  0.544595122  0.502067506  0.580562234
  3.38775992  0.54330498  0.501421571  0.579702854
  3.4037919  0.542023957  0.500774801  0.578840315
  3.41982388  0.540751994  0.500127256  0.577973902
  3.43585587  0.539488912  0.499479055  0.577102661
  3.45188785  0.538234651  0.49883014  0.576230228
  3.46791983  0.536989093  0.498180658  0.57535404
  3.48395181  0.535752177  0.497530609  0.57447511
  3.49998379  0.534523726  0.496879995  0.573593259
  3.51601577  0.533303678  0.496228904  0.572708905
  3.53204775  0.532091975  0.495577425  0.57182163
  3.54807973  0.530888498  0.494925618  0.570931971
  3.56411171  0.529693127  0.494273424  0.570040047
  3.58014369  0.528505802  0.493620932  0.569145143
  3.59617567  0.527326465  0.492968202  0.56824851
  3.61220765  0.526154935  0.492315263  0.56734997
  3.62823963  0.524991214  0.491662204  0.566448927
  3.64427161  0.523835123  0.491008937  0.565546274
  3.66030359  0.52268666  0.490355611  0.564641237
  3.67633557  0.521545768  0.489702284  0.563735127
  3.69236755  0.520412266  0.489048898  0.56282711
  3.70839953  0.519286156  0.488395572  0.561917305
  3.72443151  0.518167317  0.487742335  0.561006367
  3.7404635  0.517055631  0.487089097  0.560093343
  3.75649548  0.515951157  0.486436099  0.55918014
  3.77252746  0.514853656  0.485783219  0.558264971
  3.78855944  0.51376313  0.485130519  0.557348728
  3.80459142  0.512679577  0.484478146  0.556431413
  3.8206234  0.511602759  0.483825892  0.555513144
  3.83665538  0.510532737  0.483174026  0.554594636
  3.85268736  0.50946939  0.482522458  0.553674221
  3.86871934  0.508412659  0.481871247  0.552753448
  3.88475132  0.507362485  0.481220424  0.551832318
  3.9007833  0.506318867  0.480570078  0.550910354
  3.91681528  0.505281568  0.479920089  0.549988091
  3.93284726  0.504250646  0.479270607  0.549065292
  3.94887924  0.503225982  0.478621602  0.548142016
  3.96491122  0.502207577  0.477973133  0.547217846
  3.9809432  0.501195312  0.477325231  0.54629451
  3.99697518  0.500189185  0.476677924  0.545370102
  4.01300716  0.499189019  0.476031125  0.544446111
  4.02903938  0.498194844  0.47538498  0.543521702
  4.0450716  0.497206599  0.474739492  0.54259789
  4.06110382  0.496224225  0.474094719  0.541673303
  4.07713604  0.495247602  0.473450571  0.54074949
  4.09316826  0.494276762  0.472807199  0.539825916
  4.10920048  0.493311614  0.472164512  0.538902164
  4.1252327  0.492352068  0.471522599  0.537978351
  4.14126492  0.491398096  0.470881402  0.537055612
  4.15729713  0.490449667  0.47024107  0.536133468
  4.17332935  0.489506721  0.469601572  0.535211265
  4.18936157  0.4885692  0.468962878  0.534289241
  4.20539379  0.487637013  0.468325049  0.533368289
  4.22142601  0.486710131  0.467688024  0.532448053
  4.23745823  0.485788584  0.467052013  0.531528234
  4.25349045  0.484872192  0.466416836  0.53060919
  4.26952267  0.483960986  0.465782613  0.529690623
  4.28555489  0.483054847  0.465149254  0.528773129
  4.3015871  0.482153833  0.464516908  0.527856112
  4.31761932  0.481257826  0.463885546  0.526940525
