#
# Density and circular speed profiles for three models
#  Jaffe (beta=4, gamma=2)
#  Hernquist (beta=4, gamma=1)
#  NFW (beta=3, gamma=1)
#
# Calculated by B. Ryden
# all are dimensionless, see Figure 6.3
#
   R/Rs             rho_Jaffe        rho_Hernquist    rho_NFW         vs_Jaffe         vs_Hernquist    vs_NFW            
   1.73779762       4.41772714E-02   2.80412082E-02   7.67711550E-02  0.604364991      0.340473443      0.462926090    
   1.90545714       3.26266661E-02   2.13972237E-02   6.21687174E-02  0.586668491      0.335946500      0.464301497    
   2.08929229       2.40039993E-02   1.62339341E-02   5.01513667E-02  0.568945289      0.330845803      0.464940071    
   2.29086328       1.75947044E-02   1.22481724E-02   4.03070599E-02  0.551245511      0.325218111      0.464849651    
   2.51188159       1.28505565E-02   9.19139106E-03   3.22790779E-02  0.533617496      0.319113165      0.464043558    
   2.75422335       9.35322791E-03   6.86183944E-03   2.57608779E-02  0.516107261      0.312582374      0.462540239    
   3.01994586       6.78517716E-03   5.09729935E-03   2.04908680E-02  0.498758018      0.305678129      0.460362494    
   3.31130481       4.90663946E-03   3.76855256E-03   1.62473805E-02  0.481610119      0.298452914      0.457537025    
   3.63077354       3.53748491E-03   2.77357711E-03   1.28438072E-02  0.464700609      0.290958494      0.454094023    
   3.98106432       2.54306430E-03   2.03251792E-03   1.01241022E-02  0.448062837      0.283245116      0.450066537    
   4.36515045       1.82321446E-03   1.48338894E-03   7.95860495E-03  0.431726843      0.275361180      0.445489705    
   4.78629255       1.30376930E-03   1.07844896E-03   6.24022121E-03  0.415718943      0.267352492      0.440400511    
   5.24806547       9.30058712E-04   7.81203213E-04   4.88100899E-03  0.400061935      0.259262115      0.434837073    
   5.75438976       6.61956146E-04   5.63952315E-04   3.80915357E-03  0.384775102      0.251129955      0.428838104    
   6.30956316       4.70130617E-04   4.05813451E-04   2.96631921E-03  0.369874418      0.242992699      0.422442615    
   6.91829872       3.33225034E-04   2.91142118E-04   2.30535050E-03  0.355372697      0.234883651      0.415689439    
   7.58576441       2.35745509E-04   2.08287776E-04   1.78830978E-03  0.341279745      0.226832733      0.408616751    
   8.31762505       1.66491038E-04   1.48622639E-04   1.38481008E-03  0.327602625      0.218866572      0.401262075    
   9.12009525       1.17390256E-04   1.05790532E-04   1.07061025E-03  0.314345807      0.211008564      0.393661588    
   9.99998665       8.26450487E-05   7.51318512E-05   8.26449366E-04  0.301511526      0.203279033      0.385850400    
   10.9647655       5.81022468E-05   5.32461381E-05   6.37077552E-04  0.289099872      0.195695341      0.377861857    
   12.0226259       4.07947446E-05   3.76621356E-05   4.90459905E-04  0.277109057      0.188272163      0.369727910    
   13.1825457       2.86083650E-05   2.65912113E-05   3.77131102E-04  0.265535682      0.181021631      0.361478657    
   14.4543724       2.00400482E-05   1.87433234E-05   2.89666321E-04  0.254374921      0.173953533      0.353142411    
   15.8489037       1.40235588E-05   1.31912457E-05   2.22258037E-04  0.243620694      0.167075574      0.344745785    
   17.3779755       9.80406912E-06   9.27059955E-06   1.70374857E-04  0.233265862      0.160393551      0.336313426    
   19.0545692       6.84817860E-06   6.50670063E-06   1.30489076E-04  0.223302364      0.153911546      0.327868283    
   20.8929176       4.77963295E-06   4.56131465E-06   9.98604810E-05  0.213721469      0.147632137      0.319431514    
   22.9086266       3.33343974E-06   3.19401579E-06   7.63645294E-05  0.204513848      0.141556531      0.311022460    
   25.1188068       2.32324669E-06   2.23429743E-06   5.83571818E-05  0.195669591      0.135684788      0.302658856    
   27.5422230       1.61817854E-06   1.56148428E-06   4.45682344E-05  0.187178567      0.130015969      0.294356734    
   30.1994438       1.12644091E-06   1.09033635E-06   3.40178885E-05  0.179030314      0.124548249      0.286130726    
   33.1130295       7.83721191E-07   7.60746957E-07   2.59513836E-05  0.171214223      0.119279049      0.277993828    
   36.3077126       5.45010664E-07   5.30402133E-07   1.97880909E-05  0.163719609      0.114205182      0.269957751    
   39.8106117       3.78840241E-07   3.69557341E-07   1.50818614E-05  0.156535715      0.109322950      0.262032866    
   43.6514626       2.63227349E-07   2.57332204E-07   1.14902596E-05  0.149651870      0.104628190      0.254228294    
   47.8628731       1.82828728E-07   1.79087081E-07   8.75070873E-06  0.143057466      0.100116439      0.246552005    
   52.4805908       1.26943419E-07   1.24569794E-07   6.66206552E-06  0.136741996       9.57829356E-02  0.239010900    
   57.5438194       8.81131044E-08   8.66080185E-08   5.07036430E-06  0.130695149       9.16227475E-02  0.231610849    
   63.0955353       6.11430551E-08   6.01891230E-08   3.85785370E-06  0.124906801       8.76307487E-02  0.224356845    
   69.1828766       4.24170459E-08   4.18126689E-08   2.93453331E-06  0.119367033       8.38017613E-02  0.217252985    
   75.8575058       2.94191622E-08   2.90363875E-08   2.23166444E-06  0.114066176       8.01305249E-02  0.210302621    
   83.1760941       2.03997761E-08   2.01574313E-08   1.69677378E-06  0.108994760       7.66117722E-02  0.203508317    
   91.2007675       1.41427527E-08   1.39893626E-08   1.28982992E-06  0.104143634       7.32402354E-02  0.196872041    
   99.9996414       9.80309967E-09   9.70603953E-09   9.80306481E-07   9.95038897E-02   7.00106919E-02  0.190395147    
