#
# Quasi-periodic asteroid orbit integration for Fig 3.4 of Ryden Celestial and Stellar Dynamics
#
# tMax = 300.0 in units where 1 year = 2*pi
# numPj = 500 number of Jupiter orbits
# numSteps = 1000
# random seed = 12345
# a_init: 3.6129 au
# e_init: 0.2065
# i_init: 0-deg
#
t/PJ  a/aJ               ecc
  0.0 0.6925405169345389 0.2282332742665492
  0.5 0.6872891085774638 0.2243635935395445
  1.0 0.6927736274350151 0.2250951852404418
  1.5 0.6918685989922864 0.2276794548691800
  2.0 0.6859916761191099 0.2387163763814967
  2.5 0.6890003022264365 0.2378450167897023
  3.0 0.6854557898472294 0.2398036015764432
  3.5 0.6969725014754046 0.2142825801705249
  4.0 0.7010640408625183 0.2139919840275222
  4.5 0.6939838939156615 0.2114463515943446
  5.0 0.6967781222485140 0.2121941204583853
  5.5 0.6986480001207810 0.2134339244316056
  6.0 0.6927698630991116 0.2346859131886053
  6.5 0.6852345879652066 0.2468512460098834
  7.0 0.6808839136626517 0.2459219951811623
  7.5 0.6846878908652040 0.2361944295240977
  8.0 0.6919969646206533 0.2380586201154305
  8.5 0.6846824828663904 0.2365539516099875
  9.0 0.6861871065397552 0.2369947247437121
  9.5 0.6882289684645654 0.2379526897160043
 10.0 0.6807925028518561 0.2567051428171425
 10.5 0.6784670829813810 0.2620053228568304
 11.0 0.6743253819195105 0.2629944481015303
 11.5 0.6834207868617503 0.2461889884976510
 12.0 0.6871309919981481 0.2454648083707745
 12.5 0.6800803418330504 0.2416311586265520
 13.0 0.6851708232498332 0.2420656466197652
 13.5 0.6845857942575593 0.2447004411311641
 14.0 0.6792239185047620 0.2538527281833283
 14.5 0.6823896306006654 0.2527155392194360
 15.0 0.6816211866607395 0.2550604659973534
 15.5 0.6965455709505005 0.2178849854262335
 16.0 0.6983676837308268 0.2164704262162037
 16.5 0.6926673513347277 0.2131081552692345
 17.0 0.6971174789192768 0.2132300481643447
 17.5 0.6974231355176724 0.2152928436094725
 18.0 0.6903973022357022 0.2313128327919074
 18.5 0.6911130290140002 0.2332927079270566
 19.0 0.6864259230062295 0.2335626262159700
 19.5 0.6926725471522305 0.2192729612399297
 20.0 0.6992997514559188 0.2205730242034334
 20.5 0.6921588500947072 0.2192332561178239
 21.0 0.6930512771558974 0.2204172706790324
 21.5 0.6958014479796247 0.2206973916438119
 22.0 0.6940454692781283 0.2369495456502776
 22.5 0.6800988308215279 0.2586853311426902
 23.0 0.6758572095221109 0.2569526186841799
 23.5 0.6792507632290656 0.2473971783265713
 24.0 0.6869121708670832 0.2497384527764811
 24.5 0.6795721932336172 0.2480519501199439
 25.0 0.6819824259860594 0.2474749708432478
 25.5 0.6831446694869240 0.2489404776512348
 26.0 0.6768062879146123 0.2610189940276930
 26.5 0.6786592148790779 0.2613918878367010
 27.0 0.6756701137331839 0.2636563067124474
 27.5 0.6905560846621990 0.2312746306753946
 28.0 0.6931616443810460 0.2302909233525877
 28.5 0.6870560471515120 0.2265461302286297
 29.0 0.6918641705422089 0.2263146836561368
 29.5 0.6915826633768728 0.2285982830462775
 30.0 0.6857086880859237 0.2397143468543532
 30.5 0.6884026704879946 0.2393636093170139
 31.0 0.6842967963745605 0.2410773509746343
 31.5 0.6958790650606999 0.2156102531483362
 32.0 0.7007778275552110 0.2159914487232472
 32.5 0.6936454295335338 0.2136717767067936
 33.0 0.6961063895332700 0.2138507910121281
 33.5 0.6980829265385248 0.2147211953136551
 34.0 0.6926544652227600 0.2336655773765571
 34.5 0.6854983594002293 0.2464500918795661
 35.0 0.6810461563889229 0.2450753978668672
 35.5 0.6846566630176850 0.2343994421793182
 36.0 0.6923257123034791 0.2366182128900025
 36.5 0.6854565751935972 0.2357974101707523
 37.0 0.6866399368306488 0.2360200892884949
 37.5 0.6888118857445108 0.2365890611113813
 38.0 0.6820487286718667 0.2540539066416866
 38.5 0.6789915343169933 0.2610165894573092
 39.0 0.6745030958336432 0.2614348423511904
 39.5 0.6831726237893340 0.2450899926588574
 40.0 0.6881273427094236 0.2454603450630751
 40.5 0.6807659596895207 0.2419413819060946
 41.0 0.6851131917102287 0.2415428830582891
 41.5 0.6850609406309279 0.2438318736552376
 42.0 0.6795530924544297 0.2534546191246711
 42.5 0.6824865182221271 0.2526116943458593
 43.0 0.6803234746341067 0.2552011781829604
 43.5 0.6958625419021000 0.2186425810437445
 44.0 0.6987070327929179 0.2179463690764331
 44.5 0.6924640636336409 0.2146986921837790
 45.0 0.6964904966027813 0.2143143764423981
 45.5 0.6971624290482147 0.2160409375210753
 46.0 0.6903966886621410 0.2317063297472921
 46.5 0.6905426251427791 0.2347642732372749
 47.0 0.6857357380113667 0.2345553553661479
 47.5 0.6916524181445868 0.2201202667533331
 48.0 0.6986642346750441 0.2217535788832091
 48.5 0.6917971735397616 0.2208630090593299
 49.0 0.6925357028204900 0.2217818820674385
 49.5 0.6952907311073558 0.2218451722245606
 50.0 0.6930179862760890 0.2375601502227857
 50.5 0.6798075574155771 0.2594767638283079
 51.0 0.6754633852899717 0.2575951503957974
 51.5 0.6790902095597227 0.2471998798922281
 52.0 0.6868340590618521 0.2496719013052913
 52.5 0.6796516715721668 0.2481677667497834
 53.0 0.6820998535605645 0.2473416357743907
 53.5 0.6831920706687954 0.2487251480190336
 54.0 0.6771169316723751 0.2600353621036850
 54.5 0.6791394442117029 0.2603509176570620
 55.0 0.6759608918907641 0.2626729019879929
 55.5 0.6914786036752487 0.2286440261159788
 56.0 0.6946107727883791 0.2281477506268002
 56.5 0.6883202399606864 0.2245401943298024
 57.0 0.6927600718497879 0.2238369923275813
 57.5 0.6928165926146227 0.2258441559278967
 58.0 0.6868301298158661 0.2375118817936608
 58.5 0.6891395347779928 0.2378411652236569
 59.0 0.6845189514740883 0.2389557026852693
 59.5 0.6948319258881615 0.2161370239416397
 60.0 0.7005954831780661 0.2170850986798958
 60.5 0.6935031695158581 0.2152870889129534
 61.0 0.6953925569782595 0.2154029143380904
 61.5 0.6976564213768279 0.2158637119480761
 62.0 0.6933667398022424 0.2331131615515193
 62.5 0.6843041321344719 0.2493267500794541
 63.0 0.6799000517595478 0.2474639394810286
 63.5 0.6830693681183302 0.2365863380538606
 64.0 0.6910163055125924 0.2390951631330070
 64.5 0.6844121082444965 0.2386591187535634
 65.0 0.6856249489303133 0.2385625439273373
 65.5 0.6876790440803046 0.2390617315935463
 66.0 0.6810873227389641 0.2546926366177185
 66.5 0.6793829725646948 0.2601997779481241
 67.0 0.6747962479002905 0.2607019062380137
 67.5 0.6844642292154068 0.2419015791584712
 68.0 0.6895426262781819 0.2424950906762925
 68.5 0.6823022524076926 0.2391389948111395
 69.0 0.6864248128110876 0.2383898961891416
 69.5 0.6865454633275403 0.2404648153724030
 70.0 0.6809611375196706 0.2504307400383493
 70.5 0.6837447557360956 0.2498872698136566
