#
# Chaotic asteroid orbit integration for Fig 3.6 of Ryden Celestial and Stellar Dynamics
#
# tMax = 300.0 in units where 1 year = 2*pi
# numPj = 500 number of Jupiter orbits
# numSteps = 1000
# random seed = 12345
# a_init: 3.6337 au
# e_init: 0.1967
# i_init: 0-deg
#
t/PJ  a/aJ               ecc
  0.0 0.6945663337231408 0.2213399482938818
  0.5 0.6928306396984243 0.2236433619259544
  1.0 0.6891679430776801 0.2295514329833344
  1.5 0.6929620497432633 0.2283063740941023
  2.0 0.6884369621766693 0.2303990953081264
  2.5 0.7027803587277121 0.1929574540018255
  3.0 0.7088586006050430 0.1944329219999893
  3.5 0.7027763077591297 0.1942193958060843
  4.0 0.7039601896652729 0.1937015555728321
  4.5 0.7071524122652783 0.1925930907476665
  5.0 0.7048933391449497 0.1977504040483533
  5.5 0.6909056724704512 0.2302693624722961
  6.0 0.6934157211418199 0.2306291305700006
  6.5 0.6894758662671294 0.2250507912678067
  7.0 0.6942824969803910 0.2214337497636307
  7.5 0.6930581128301710 0.2231511611688206
  8.0 0.6894748936845334 0.2286272803734155
  8.5 0.6934703318072050 0.2277306745896463
  9.0 0.6876441612899744 0.2281256159286359
  9.5 0.6999370339497364 0.1953883949365941
 10.0 0.7068426450129339 0.1974515254318953
 10.5 0.7015317453396138 0.1983901054983752
 11.0 0.7027106496027395 0.1971673980698445
 11.5 0.7060023863748227 0.1955620742529948
 12.0 0.7020489860951484 0.1995175722065027
 12.5 0.6895769718852324 0.2318709262876176
 13.0 0.6925540206500087 0.2329161391312359
 13.5 0.6894831544442299 0.2267736948538962
 14.0 0.6942208006331548 0.2219168393536433
 14.5 0.6927756750645032 0.2233876427068555
 15.0 0.6897491106362544 0.2276736947087702
 15.5 0.6940695198378749 0.2266462088533459
 16.0 0.6876625908840083 0.2262882270239161
 16.5 0.6848642174123080 0.2314390084615273
 17.0 0.6916694436161446 0.2340019325748900
 17.5 0.6871174850124776 0.2332521226250822
 18.0 0.6910034617458256 0.2282837897379216
 18.5 0.6911401807129620 0.2281842805466686
 19.0 0.6870305049063079 0.2334553463465081
 19.5 0.6914421660073566 0.2347521907649380
 20.0 0.6848461877080843 0.2320523525478281
 20.5 0.6937471465185241 0.2122722621058933
 21.0 0.7000026178916211 0.2120660521764582
 21.5 0.6956235812050410 0.2136648835778521
 22.0 0.6974121393948891 0.2110547768637158
 22.5 0.7003778704693472 0.2090108576026860
 23.0 0.6952968185400732 0.2118756583220746
 23.5 0.6917914280128006 0.2271671612866269
 24.0 0.6938276438035370 0.2285400846580795
 24.5 0.6950786055619074 0.2178788201191208
 25.0 0.6993178688656071 0.2104300280610053
 25.5 0.6974225647649385 0.2114562258221356
 26.0 0.6948654864577015 0.2145593834507329
 26.5 0.7000601969589689 0.2142478696819371
 27.0 0.6931975170184520 0.2119076109084138
 27.5 0.6852010230825889 0.2334060547924220
 28.0 0.6911871075945352 0.2332049298030562
 28.5 0.6872042431931018 0.2339480291899886
 29.0 0.6908726932393634 0.2285143191505820
 29.5 0.6916827086251340 0.2271516279894341
 30.0 0.6871380417854391 0.2311717221596397
 30.5 0.6920129830547384 0.2352579603105069
 31.0 0.6875890189088301 0.2337665587353468
 31.5 0.6927137560153147 0.2229473119650567
 32.0 0.6964617276345019 0.2195790998681293
 32.5 0.6925930203585851 0.2211874699397786
 33.0 0.6945005412271793 0.2181456091568423
 33.5 0.6978990873665526 0.2158238394749938
 34.0 0.6911950802355024 0.2156966065806273
 34.5 0.6901219899843186 0.2269551603639109
 35.0 0.6930825608357771 0.2295060443212182
 35.5 0.6982981701213452 0.2151704167748264
 36.0 0.7021274109276500 0.2038831158627083
 36.5 0.7002306986398892 0.2040845698882453
 37.0 0.6975935782113146 0.2061467767016117
 37.5 0.7037610997360646 0.2076402573663551
 38.0 0.6984583859946678 0.2063529236482890
 38.5 0.6866794421002447 0.2369539488085722
 39.0 0.6903977389598027 0.2340929159788844
 39.5 0.6866948273382190 0.2354090178818088
 40.0 0.6903169262563293 0.2296800526237865
 40.5 0.6919361571789220 0.2273361726682299
 41.0 0.6865292838134003 0.2288628230472238
 41.5 0.6907533027550730 0.2342617153370974
 42.0 0.6893526600966380 0.2352131088051445
 42.5 0.6873534658757583 0.2437924296543472
 43.0 0.6879022666834236 0.2394396132651069
 43.5 0.6843174712826249 0.2407939557968896
 44.0 0.6875695105623937 0.2357321362107438
 44.5 0.6899809186690988 0.2331189778604012
 45.0 0.6835530015187500 0.2326594751682501
 45.5 0.6874827376043997 0.2381000381753084
 46.0 0.6873697370886098 0.2403022009695832
 46.5 0.6738845599241799 0.2738809194231932
 47.0 0.6742161259225474 0.2706542941161690
 47.5 0.6717660220516458 0.2711612748081672
 48.0 0.6776227551932512 0.2609379182466547
 48.5 0.6765464797591918 0.2593546322333136
 49.0 0.6745038150481245 0.2600008407402288
 49.5 0.6815117968112513 0.2609133351413350
 50.0 0.6728059594261345 0.2576565646841558
 50.5 0.6727697945492390 0.2645798511583540
 51.0 0.6758213666723284 0.2675183117407209
 51.5 0.6637850661094550 0.2994296034010547
 52.0 0.6625200740999271 0.2964637444940986
 52.5 0.6620637159258859 0.2951411720316697
 53.0 0.6692676741022615 0.2805631071153296
 53.5 0.6667841047191296 0.2803378112280811
 54.0 0.6684979247648666 0.2784649812825148
 54.5 0.6713411260643435 0.2756920413586730
 55.0 0.6644103567857359 0.2743064104723355
 55.5 0.6724336772414621 0.2794333720305013
 56.0 0.6673237429001717 0.2793897684946430
 56.5 0.6629604572375537 0.2861428760406658
 57.0 0.6667157668586905 0.2876932546439159
 57.5 0.6529565285578314 0.3228603365480155
 58.0 0.6513596639147156 0.3208023127074019
 58.5 0.6567649167324348 0.3129047065288373
 59.0 0.6645739407587850 0.2914998490312363
 59.5 0.6616233488568994 0.2922791767080305
 60.0 0.6662009219980736 0.2860141895378795
 60.5 0.6659437099573491 0.2833218760003569
 61.0 0.6632553400589213 0.2836420668658475
 61.5 0.6709952108854108 0.2853259419076585
 62.0 0.6613517176244555 0.2810608608667575
 62.5 0.6651385097308790 0.2851540854534769
 63.0 0.6654299622674029 0.2885317239107297
 63.5 0.6574548329454646 0.3004931993342213
 64.0 0.6610368910184623 0.3000057329082397
 64.5 0.6588180338878260 0.3178125215753969
 65.0 0.6544626327222632 0.3139457137514764
 65.5 0.6545419487195495 0.3129846219006091
 66.0 0.6632875584145921 0.2941994708123798
 66.5 0.6604378872619193 0.2940284007204690
 67.0 0.6638422057250325 0.2901755140284543
 67.5 0.6651419926646567 0.2870049136189002
 68.0 0.6599282091784492 0.2857256406778405
 68.5 0.6692922982469501 0.2900742781681871
 69.0 0.6609247650204448 0.2874152514870041
 69.5 0.6623492423544450 0.2896306849922767
 70.0 0.6636964015742951 0.2927751107941489
 70.5 0.6559286673685168 0.3048906077078104
 71.0 0.6590923476548961 0.3040514096851515
 71.5 0.6525267441727605 0.3305246725255348
 72.0 0.6466348755427671 0.3309237100290700
 72.5 0.6505803706157983 0.3273721448474141
 73.0 0.6611452990024187 0.2992845567318411
 73.5 0.6580156111683979 0.2997790362149395
 74.0 0.6635860723462563 0.2921694059517980
 74.5 0.6631681390076237 0.2890182954546174
 75.0 0.6604234451941440 0.2878836428341875
 75.5 0.6690695383305928 0.2907521347351644
 76.0 0.6595483500597477 0.2865778172220142
 76.5 0.6639438139270490 0.2886162366590508
 77.0 0.6634191729741503 0.2919112729589463
 77.5 0.6585490662980692 0.2980065628220990
 78.0 0.6617289353856736 0.2979913949081499
 78.5 0.6506908595405276 0.3245472662657887
 79.0 0.6489343283528246 0.3259617233517781
 79.5 0.6557045978115259 0.3249840418172599
 80.0 0.6602809283204391 0.3014007484688773
 80.5 0.6571888977433015 0.3023119345230827
 81.0 0.6647350787259486 0.2904094801392064
 81.5 0.6634333025955701 0.2873578832432213
 82.0 0.6619054866754180 0.2854097909282878
 82.5 0.6702316044950565 0.2879743972028894
 83.0 0.6608798720937584 0.2837641182427644
 83.5 0.6657448044288654 0.2851969849749999
 84.0 0.6648193113064101 0.2883983468377754
 84.5 0.6607774355980365 0.2933043294358197
 85.0 0.6637997663160243 0.2932348801261364
 85.5 0.6541903919788892 0.3158377893116942
 86.0 0.6526116214777011 0.3179860608279483
 86.5 0.6577530205777798 0.3181794043003262
 87.0 0.6657938485222797 0.2894633845005375
 87.5 0.6621406154601467 0.2893926439932573
 88.0 0.6680527556045491 0.2811785345567996
 88.5 0.6698364661095672 0.2784883380745221
 89.0 0.6635283698707184 0.2739671016670260
 89.5 0.6724979450892702 0.2778685299648755
 90.0 0.6672171865984335 0.2789351265055696
 90.5 0.6668983777346522 0.2798023148427728
 91.0 0.6688914555450941 0.2812434700772856
 91.5 0.6616860740991418 0.2944604412095552
 92.0 0.6636388415006793 0.2938976330195411
 92.5 0.6677096642012719 0.2978304272448422
 93.0 0.6694214377055074 0.2817226198932264
 93.5 0.6654980923577258 0.2807654849403695
 94.0 0.6705751342610922 0.2729147134195069
 94.5 0.6752649811111279 0.2725990307779491
 95.0 0.6674420743619904 0.2677797122352428
 95.5 0.6740360691552367 0.2690749235385043
 96.0 0.6716625679777294 0.2719407303181891
 96.5 0.6691444313430330 0.2750281285025731
 97.0 0.6720149076544715 0.2747540768917336
 97.5 0.6643417580231937 0.2935303615811078
 98.0 0.6614720684459687 0.2988998438110149
 98.5 0.6604740181028883 0.3009241914227793
 99.0 0.6759347714946565 0.2667064555664413
 99.5 0.6737533153146077 0.2636063465272781
100.0 0.6720487392722129 0.2580207856622810
100.5 0.6809953529054461 0.2614605683136413
101.0 0.6743733018939507 0.2611663593414200
101.5 0.6754683418864285 0.2612124740874223
102.0 0.6771096452449806 0.2625446699668237
102.5 0.6703374665230395 0.2754665422696001
103.0 0.6720177106688411 0.2755916148663839
103.5 0.6714593926274083 0.2778848927798499
104.0 0.6870446692528627 0.2408809205617800
104.5 0.6867277605481669 0.2382083649352460
105.0 0.6826219968629093 0.2331895440125843
105.5 0.6895694141387424 0.2347795470780492
106.0 0.6868725282482435 0.2373558408221365
106.5 0.6833071587946457 0.2430205268165909
107.0 0.6868880420397748 0.2417719116848702
107.5 0.6878940082555195 0.2451856349836374
108.0 0.6947632040895793 0.2224993828462357
108.5 0.6959078744513433 0.2210823659465321
109.0 0.6911956053026471 0.2168526973590972
109.5 0.6962037115230525 0.2161173230215222
110.0 0.6955450622462988 0.2183311333763509
110.5 0.6900428604275191 0.2287859145168057
111.0 0.6929178968115374 0.2286403935032353
111.5 0.6880386702499962 0.2295259635099920
112.0 0.6979059184077635 0.2061499953295964
112.5 0.7042468327447767 0.2074021197306027
113.0 0.6975050146675230 0.2065143095631021
113.5 0.6982714262425287 0.2073891080195241
114.0 0.7013167366781069 0.2070192654408796
114.5 0.7022932567496537 0.2147560510636499
115.0 0.6874616148097918 0.2413922702122571
115.5 0.6859383881985406 0.2388034156643463
116.0 0.6840804431504947 0.2310812567230013
116.5 0.6911398232335706 0.2318642805982802
