#
# Model ZLK oscillations for Earth and a perturbing tertiary
# body with
#   M = 1 Msun
#   a = 200 au
#   e = 0.1
# Calculated for Figure 2.10 of Celestial and Stellar Dynamics
# by Prof. Todd Thompson, OSU Astronomy Department
#
# Column 1: Time [Myr]
# Column 2: Inclination [degrees]
# Column 3: Eccentricity
#
  time            inc         ecc 
  0.0516554192  84.9999924  0.0201139301
  0.0541871004  84.9999847  0.0201251246
  0.0554529466  84.9999847  0.0201309174
  0.0569719523  84.9999847  0.0201380439
  0.060009975  84.9999847  0.0201528575
  0.0610226467  84.9999847  0.0201579612
  0.061984688  84.9999847  0.0201628897
  0.0624657087  84.9999847  0.0201653801
  0.0637484267  84.9999847  0.0201721173
  0.0652876943  84.9999847  0.02018038
  0.0683662221  84.9999847  0.0201974809
  0.0720604509  84.9999771  0.0202190205
  0.0764935315  84.9999771  0.0202463325
  0.0787100717  84.9999771  0.0202605855
  0.0813699216  84.9999771  0.0202782173
  0.0845617354  84.9999695  0.0203001313
  0.0875939578  84.9999695  0.0203217156
  0.0912326351  84.9999695  0.0203485973
  0.0955990404  84.9999619  0.0203822702
  0.104331851  84.9999542  0.0204542335
  0.114811219  84.9999542  0.0205486957
  0.120050907  84.9999466  0.0205992348
  0.126338527  84.9999466  0.0206627846
  0.129482344  84.999939  0.0206957441
  0.133254915  84.999939  0.0207363386
  0.135141209  84.9999313  0.0207570624
  0.13891378  84.9999313  0.0207993574
  0.140800059  84.9999237  0.0208209306
  0.141743198  84.9999237  0.0208318233
  0.144258261  84.9999237  0.0208612159
  0.146647558  84.9999161  0.0208896045
  0.14951472  84.9999161  0.0209242664
  0.152955294  84.9999084  0.0209667236
  0.157084018  84.9999084  0.0210189056
  0.162038445  84.9999008  0.0210833047
  0.164515689  84.9998932  0.0211162288
  0.165754303  84.9998932  0.0211328715
  0.166373596  84.9998932  0.0211412404
  0.167199343  84.9998932  0.0211524423
  0.168300331  84.9998932  0.0211674646
  0.169621512  84.9998932  0.0211856142
  0.171206936  84.9998932  0.0212075766
  0.172713086  84.9998932  0.0212286245
  0.175725386  84.9998856  0.0212712511
  0.17723155  84.9998856  0.0212928336
  0.18024385  84.9998779  0.0213365294
  0.183858603  84.9998703  0.0213898998
  0.188196331  84.9998627  0.0214552935
  0.19340159  84.999855  0.0215357039
  0.194702908  84.999855  0.0215561353
  0.19730553  84.9998474  0.0215973947
  0.200775698  84.9998398  0.0216532256
  0.204939917  84.9998322  0.0217214543
  0.207022011  84.9998322  0.0217560735
  0.209520549  84.9998245  0.0217980593
  0.212518781  84.9998245  0.0218490809
  0.218515232  84.9998169  0.0219532009
  0.225710988  84.9998016  0.0220818035
  0.234345883  84.9997787  0.0222413763
  0.245859087  84.9997635  0.0224630162
  0.251615703  84.9997482  0.0225776304
  0.258523613  84.999733  0.0227184929
  0.265086114  84.9997177  0.0228556674
  0.271320522  84.9997025  0.0229890049
  0.278801799  84.9996872  0.0231528878
  0.285909027  84.9996643  0.0233124848
  0.300123453  84.9996338  0.0236430783
  0.313627183  84.999588  0.0239711776
  0.326455712  84.9995575  0.0242955014
  0.343560398  84.9994965  0.0247470308
  0.346411198  84.9994965  0.0248244032
  0.35211274  84.9994736  0.0249809641
  0.358954638  84.9994431  0.0251720306
  0.365454406  84.9994278  0.0253567677
  0.37325415  84.9993973  0.0255825985
  0.388853669  84.9993439  0.0260478333
  0.403673142  84.9992828  0.0265065804
  0.4177517  84.9992218  0.0269575529
  0.431126297  84.9991684  0.0273996927
  0.443832189  84.9991074  0.0278321393
  0.460773349  84.9990234  0.0284276288
  0.483361602  84.998909  0.0292554013
  0.489008635  84.9988785  0.0294684153
  0.495785117  84.9988403  0.0297272541
  0.50391686  84.9987869  0.0300425142
  0.50662744  84.9987793  0.0301487334
  0.512048602  84.9987411  0.0303628743
  0.519276857  84.998703  0.0306519382
  0.527950764  84.9986496  0.0310041793
  0.536190927  84.9985962  0.0313442573
  0.546079099  84.9985275  0.0317593962
  0.55547297  84.9984665  0.0321609452
  0.564397037  84.9984055  0.032548923
  0.572875023  84.9983444  0.0329234153
  0.580928981  84.998291  0.0332845524
  0.591667712  84.9982071  0.0337742679
  0.597037077  84.9981689  0.0340226628
  0.60348022  84.9981155  0.0343238637
  0.611212134  84.9980545  0.0346898437
  0.621521235  84.9979706  0.0351855643
  0.626675844  84.9979248  0.0354367718
  0.632861316  84.9978714  0.0357411802
  0.640283942  84.9978027  0.0361107588
  0.649191022  84.9977264  0.0365604796
  0.657652736  84.9976501  0.0369940549
  0.66893512  84.9975433  0.0375818498
  0.679653287  84.9974289  0.0381506309
  0.682332873  84.997406  0.0382944196
  0.687691987  84.997345  0.0385839157
  0.698410213  84.9972382  0.0391706601
  0.701982915  84.9972  0.0393685549
  0.70912838  84.9971161  0.0397678316
  0.717702925  84.9970245  0.0402531587
