Name,H,a,e,i,Omega,peri,M,n,Epoch
(37716) 1996 RP32,12.52,5.1758522,0.0671515,4.34554,52.29733,305.66281,79.63741,0.08370112,2023.150684931507
(37732) 1996 TY68,12.04,5.2422154,0.0250994,15.46815,0.85413,243.43041,196.42703,0.08211675,2023.150684931507
(37789) 1997 UL16,13.18,5.2661205,0.0108414,0.45075,264.24041,202.75268,327.52875,0.08155825,2023.150684931507
(37790) 1997 UX26,12.81,5.2541701,0.0860016,9.53352,160.07128,254.94735,18.52237,0.08183666,2023.150684931507
(38050) Bias,9.91,5.1955592,0.077475,28.55674,233.52595,193.47292,0.7745,0.08322535,2023.150684931507
(38051) 1998 XJ5,12.1,5.1690099,0.1866528,8.7482,60.02471,25.69839,357.57553,0.08386737,2023.150684931507
(38052) 1998 XA7,12.8,5.2197924,0.0360313,1.8118,147.71292,267.43676,8.82132,0.08264646,2023.150684931507
(38257) 1999 RC13,12.13,5.2220863,0.1217313,14.82636,160.44866,123.65145,38.36103,0.082592,2023.150684931507
(38574) 1999 WS4,11.91,5.1404285,0.106466,7.1957,300.85725,170.82303,326.48587,0.08456781,2023.150684931507
(38585) 1999 XD67,12.44,5.1322079,0.1086132,5.77148,241.92885,203.64211,338.45595,0.08477108,2023.150684931507
(38592) 1999 XH162,11.89,5.2442024,0.0871924,15.80953,24.55825,61.0784,337.52962,0.08207009,2023.150684931507
(38594) 1999 XF193,12.22,5.2281492,0.0493824,8.87896,324.70163,114.85117,341.44928,0.08244838,2023.150684931507
(38596) 1999 XP199,12.55,5.1415554,0.0638399,6.48179,22.02279,65.90475,355.67313,0.08454001,2023.150684931507
(38597) 1999 XU200,12.25,5.2667251,0.1220255,16.86268,72.48239,36.66025,319.27293,0.0815442,2023.150684931507
(38598) 1999 XQ208,12.62,5.1574257,0.0510575,11.60136,44.26367,63.98507,343.91434,0.08415009,2023.150684931507
(38599) 1999 XC210,11.95,5.2086803,0.0891621,14.54455,34.4396,39.92791,353.80498,0.08291107,2023.150684931507
(38600) 1999 XR213,11.86,5.1710535,0.0363443,9.94506,110.94965,3.70626,313.19045,0.08381766,2023.150684931507
(38606) 1999 YC13,11.93,5.1541737,0.0626943,18.24545,80.31346,18.31313,357.44494,0.08422975,2023.150684931507
(38607) 2000 AN6,11.84,5.2491486,0.0313069,13.87739,112.56834,5.43673,338.29459,0.08195412,2023.150684931507
(38609) 2000 AB26,12.3,5.2722016,0.1113048,11.63977,100.31401,349.99745,338.22951,0.08141718,2023.150684931507
(38610) 2000 AU45,11.59,5.2292161,0.0129377,14.07535,270.66478,301.05092,220.97484,0.08242315,2023.150684931507
(38611) 2000 AS74,12.44,5.187337,0.1288239,8.35583,107.43269,356.28547,331.97937,0.0834233,2023.150684931507
(38614) 2000 AA113,12.1,5.2709738,0.0262316,17.17834,134.45009,346.21226,324.42917,0.08144563,2023.150684931507
(38615) 2000 AV121,12.46,5.1725341,0.162618,3.96862,270.40047,141.83884,28.90189,0.08378167,2023.150684931507
(38617) 2000 AY161,12.13,5.2075168,0.042575,12.81082,86.61499,281.51012,74.95047,0.08293886,2023.150684931507
(38619) 2000 AW183,11.8,5.1753298,0.1569518,14.09333,149.44625,262.90181,24.968,0.08371379,2023.150684931507
(38621) 2000 AG201,12.23,5.1726266,0.0772178,14.01096,147.53304,253.50765,38.57183,0.08377943,2023.150684931507
(39229) 2000 YJ30,12.76,5.1974431,0.1620479,7.16763,30.38747,97.11548,312.68706,0.0831801,2023.150684931507
(39264) 2000 YQ139,10.85,5.2507556,0.0720159,18.17922,207.18806,207.02501,31.95349,0.0819165,2023.150684931507
(39270) 2001 AH11,12.33,5.1804746,0.0757622,5.41558,238.49749,231.68396,324.45253,0.08358912,2023.150684931507
(39275) 2001 AV37,12.22,5.2345418,0.08562,18.00206,84.33261,23.47633,333.41333,0.08229739,2023.150684931507
(39278) 2001 BK9,12.07,5.2550906,0.080884,6.00747,27.6243,39.90721,359.91885,0.08181516,2023.150684931507
(39280) 2001 BE24,12.03,5.1803398,0.0654546,12.04562,310.36892,125.29148,351.67907,0.08359238,2023.150684931507
(39284) 2001 BB62,12.15,5.1984951,0.0496347,8.99579,228.83513,258.03625,326.71961,0.08315486,2023.150684931507
(39285) Kipkeino,12.71,5.1757387,0.0814062,6.49068,330.66268,127.885,358.40193,0.08370387,2023.150684931507
(39286) 2001 CX6,12.34,5.2794225,0.070692,4.64438,79.23561,0.28936,353.72571,0.0812502,2023.150684931507
(39287) 2001 CD14,12.71,5.1080582,0.0426558,5.2214,47.90512,7.91724,47.85231,0.08537296,2023.150684931507
(39288) 2001 CD21,12.59,5.2721587,0.0530434,1.94949,325.88594,164.50583,298.8657,0.08141818,2023.150684931507
(39289) 2001 CT28,12.51,5.255088,0.045958,10.01036,27.95484,97.35018,319.60535,0.08181522,2023.150684931507
(39292) 2001 DS4,12.63,5.2708297,0.1411565,9.38762,82.73535,50.26081,306.79331,0.08144897,2023.150684931507
(39293) 2001 DQ10,12.06,5.2035725,0.0376856,14.42348,152.90841,237.4914,36.80518,0.08303318,2023.150684931507
(39362) 2002 BU1,12.08,5.1136122,0.0622886,9.73125,180.46637,283.13135,345.61909,0.08523391,2023.150684931507
(39369) 2002 CE13,11.24,5.1681407,0.0571755,18.14937,354.61357,262.14195,184.72889,0.08388853,2023.150684931507
(39463) Phyleus,12.6,5.1889166,0.0884353,5.76188,143.53204,278.10048,44.10028,0.08338521,2023.150684931507
(39474) 1978 VC7,11.77,5.2652617,0.0894654,13.05296,71.62239,220.60145,18.3367,0.0815782,2023.150684931507
(39691) 1996 RR31,12.73,5.2390363,0.0904231,2.35362,156.59844,278.56091,12.89207,0.08219151,2023.150684931507
(39692) 1996 RB32,12.5,5.1658426,0.0525005,6.88159,136.60142,171.61489,119.12296,0.08394451,2023.150684931507
(39693) 1996 ST1,12.52,5.2111341,0.0102355,6.52063,203.88341,141.38289,108.43199,0.08285252,2023.150684931507
(39793) 1997 SZ23,12.82,5.2019725,0.0660455,14.98161,22.13776,95.24298,337.37451,0.08307149,2023.150684931507
(39794) 1997 SU24,12.31,5.1752584,0.0310846,15.49136,28.8785,32.1147,37.10319,0.08371553,2023.150684931507
(39795) Marson,12.69,5.1685215,0.0976931,6.73478,344.86663,80.26016,30.07967,0.08387926,2023.150684931507
(39797) 1997 TK18,12.43,5.1698448,0.0826033,14.98263,27.23003,125.22815,282.2524,0.08384705,2023.150684931507
(39798) 1997 TW28,12.62,5.1838726,0.1046922,8.04935,39.39731,351.67353,46.17762,0.08350694,2023.150684931507
(39803) 1997 UY15,12.59,5.2940112,0.0740349,0.49889,165.31924,245.46535,15.55881,0.08091458,2023.150684931507
(40237) 1998 VM6,12.09,5.1945855,0.2196612,6.29679,309.11373,130.46342,353.71611,0.08324875,2023.150684931507
(40262) 1999 CF156,13.02,5.2472318,0.1529266,10.77454,74.71611,35.58986,333.57082,0.08199903,2023.150684931507
(41268) 1999 XO64,12.73,5.1643053,0.1331838,16.31408,75.13745,38.52034,309.19762,0.083982,2023.150684931507
(41340) 1999 YO14,11.26,5.1615282,0.0584391,33.16861,183.28367,286.12999,327.4471,0.08404979,2023.150684931507
(41342) 1999 YC23,12.61,5.3192669,0.0876419,2.88286,239.1602,201.09681,347.16227,0.080339,2023.150684931507
(41350) 2000 AJ25,12.14,5.2259335,0.0830768,9.70095,294.27313,105.72522,34.16911,0.08250082,2023.150684931507
(41353) 2000 AB33,12.11,5.2263356,0.0787035,9.97093,92.73031,313.21088,50.15103,0.0824913,2023.150684931507
(41355) 2000 AF36,12.7,5.1742585,0.0807745,8.028,95.87725,326.91194,27.6509,0.0837398,2023.150684931507
(41359) 2000 AG55,12.31,5.1573572,0.0270537,6.76344,102.80051,338.94059,36.99429,0.08415177,2023.150684931507
(41379) 2000 AS105,11.49,5.123072,0.0620312,25.92743,104.96868,343.2596,1.93009,0.08499794,2023.150684931507
(41417) 2000 AL233,12.6,5.1979084,0.0438155,1.72357,119.89313,328.3042,30.14149,0.08316894,2023.150684931507
(41426) 2000 CJ140,12.92,5.3202565,0.0705685,1.5146,128.34963,315.45794,13.15049,0.08031658,2023.150684931507
(41427) 2000 DY4,12.5,5.3023626,0.0809351,5.65275,68.40175,14.15579,23.20422,0.08072349,2023.150684931507
(42036) 2000 YP96,12.0,5.1990266,0.037918,6.50948,282.41426,134.8325,8.58083,0.0831421,2023.150684931507
(42114) 2001 BH4,12.57,5.1763745,0.0033605,7.24998,32.11903,53.48862,345.90783,0.08368845,2023.150684931507
(42146) 2001 BN42,12.01,5.1613357,0.0336577,11.44324,251.57521,193.48428,6.87893,0.08405449,2023.150684931507
(42168) 2001 CT13,11.73,5.1789259,0.0577599,13.98663,120.11357,185.52244,150.87802,0.08362662,2023.150684931507
(42176) 2001 CK22,12.49,5.2170011,0.0926133,14.3115,329.25097,179.2642,293.56922,0.08271279,2023.150684931507
(42179) 2001 CP25,12.36,5.2563051,0.055949,6.61105,81.62887,319.64374,37.49498,0.0817868,2023.150684931507
(42182) 2001 CP29,12.21,5.1891759,0.0326996,6.57865,93.17787,320.87739,39.85781,0.08337896,2023.150684931507
(42187) 2001 CS32,11.47,5.2073976,0.0320383,24.18458,9.49324,256.20563,165.87625,0.08294171,2023.150684931507
(42200) 2001 DJ26,12.1,5.3511904,0.0382747,6.46652,10.66282,7.01976,54.09521,0.07962115,2023.150684931507
(42201) 2001 DH29,12.53,5.1672711,0.159495,7.10226,236.30915,214.1555,343.53967,0.08390971,2023.150684931507
(42230) 2001 DE108,12.75,5.2355136,0.0535113,13.66943,7.42935,121.9904,328.25516,0.08227448,2023.150684931507
(42277) 2001 SQ51,12.21,5.1467929,0.0469396,6.13779,115.38831,42.27279,158.48149,0.084411,2023.150684931507
(42367) 2002 CQ134,11.14,5.2242656,0.043364,29.04047,187.94503,340.39307,296.53254,0.08254033,2023.150684931507
(42403) Andraimon,12.63,5.2541366,0.1122688,8.14695,18.08222,30.68409,11.28136,0.08183744,2023.150684931507
(42554) 1996 RJ28,11.8,5.1276579,0.0282863,17.51961,178.54249,133.89054,121.23119,0.08488394,2023.150684931507
(42555) 1996 RU31,12.57,5.2448223,0.1129099,6.43703,165.27303,188.01885,84.65317,0.08205554,2023.150684931507
(43212) Katosawao,12.42,5.2877994,0.0590513,6.47494,223.22574,258.69709,321.00177,0.0810572,2023.150684931507
(43436) Ansschut,12.23,5.1497852,0.00394,8.35859,124.90034,102.8226,197.58991,0.08433744,2023.150684931507
(43627) 2002 CL224,13.05,5.103213,0.1145199,1.29867,328.25308,98.11684,14.29095,0.08549457,2023.150684931507
(43706) Iphiklos,12.51,5.1790172,0.0890841,13.46051,185.88389,213.98973,67.89283,0.08362441,2023.150684931507
(45822) 2000 QQ116,12.5,5.2429572,0.1906455,7.30195,91.94072,271.36755,314.48302,0.08209933,2023.150684931507
(46676) 1996 RF29,12.11,5.1572609,0.1150657,11.52351,173.61515,72.59796,179.76406,0.08415413,2023.150684931507
(47955) 2000 QZ73,12.2,5.1031315,0.0689437,3.24004,218.30798,99.77308,2.61687,0.08549662,2023.150684931507
(47956) 2000 QS103,12.12,5.1501629,0.070509,9.68178,27.04589,297.78533,11.29746,0.08432816,2023.150684931507
(47957) 2000 QN116,11.84,5.2725414,0.0853824,7.58011,153.76846,155.24697,347.00623,0.08140931,2023.150684931507
(47959) 2000 QP168,12.47,5.1125772,0.0682812,6.02444,291.14593,15.7908,19.31977,0.08525979,2023.150684931507
(47962) 2000 RU69,12.04,5.2735208,0.091296,20.09666,19.4467,3.97022,296.84383,0.08138663,2023.150684931507
(47963) 2000 SO56,11.95,5.2612405,0.0294895,13.23818,185.61581,106.81259,14.09968,0.08167175,2023.150684931507
(47964) 2000 SG131,12.24,5.2054859,0.14243,14.00771,259.36733,99.37554,319.0079,0.0829874,2023.150684931507
(47967) 2000 SL298,12.04,5.2243903,0.116097,6.44731,254.64288,5.95295,61.99501,0.08253738,2023.150684931507
(47969) 2000 TG64,12.0,5.2867528,0.0566002,16.91514,110.47179,277.78841,289.05947,0.08108128,2023.150684931507
(48249) 2001 SY345,12.21,5.101823,0.0150774,7.54293,100.45111,270.73884,280.77385,0.08552951,2023.150684931507
(48252) 2001 TL212,12.51,5.1360247,0.0212414,15.56597,225.96777,154.73018,288.96493,0.0846766,2023.150684931507
(48254) 2001 UE83,12.57,5.1807937,0.1074329,31.79832,47.21992,291.40211,352.9262,0.0835814,2023.150684931507
(48269) 2002 AX166,12.24,5.1668119,0.0441196,15.74592,162.56699,41.27993,241.10252,0.08392089,2023.150684931507
(48373) Gorgythion,12.2,5.2834209,0.0139522,27.21873,208.21329,47.72153,83.6118,0.08115799,2023.150684931507
(48438) 1989 WJ2,10.95,5.1515278,0.0307857,31.37199,95.86866,286.80912,312.79396,0.08429465,2023.150684931507
(48604) 1995 CV,12.6,5.1366075,0.0861018,7.08159,152.93737,146.38327,339.12341,0.08466219,2023.150684931507
(48764) 1997 JJ10,11.61,5.1875162,0.0916341,25.62797,96.72316,304.1215,260.27174,0.08341898,2023.150684931507
(48767) Skamander,12.04,5.208116,0.0678063,29.07504,228.00774,103.20151,323.59786,0.08292454,2023.150684931507
(51339) 2000 OA61,12.33,5.1572136,0.0677918,7.08662,325.67538,237.71638,111.96088,0.08415529,2023.150684931507
(51340) 2000 QJ12,12.06,5.1342572,0.0673018,2.76439,88.0642,262.94482,302.49988,0.08472033,2023.150684931507
(51344) 2000 QA127,12.27,5.1793811,0.0477383,4.38398,314.10092,40.29573,326.22528,0.08361559,2023.150684931507
(51345) 2000 QH137,12.01,5.2186465,0.149713,13.93011,292.85628,126.57144,252.43313,0.08267368,2023.150684931507
(51346) 2000 QX158,12.24,5.1274438,0.0306295,8.99032,246.52455,55.91695,10.72184,0.08488925,2023.150684931507
(51347) 2000 QZ165,12.18,5.1647432,0.1425776,7.64355,239.59471,131.50465,311.97527,0.08397132,2023.150684931507
(51348) 2000 QR169,12.15,5.1418556,0.0662377,7.70497,307.75746,285.87753,85.89819,0.08453261,2023.150684931507
(51350) 2000 QU176,11.72,5.1885646,0.0548721,17.29417,328.07365,22.523,313.70267,0.0833937,2023.150684931507
(51351) 2000 QO218,12.46,5.0970363,0.0708364,2.9578,138.37657,248.84318,278.99035,0.08565002,2023.150684931507
(51354) 2000 RX25,11.59,5.1512873,0.1083925,9.89241,269.50424,58.99959,356.60571,0.08430055,2023.150684931507
(51357) 2000 RM88,12.35,5.1884604,0.0717395,9.02316,246.20102,56.31473,6.33087,0.08339621,2023.150684931507
(51359) 2000 SC17,11.97,5.1775525,0.1182275,9.48283,262.39558,29.25134,28.56524,0.08365989,2023.150684931507
(51360) 2000 SZ25,12.32,5.1632801,0.0551875,7.09946,274.29682,33.13112,349.02244,0.08400701,2023.150684931507
(51362) 2000 SY247,12.41,5.2023545,0.0619897,5.17181,129.95298,148.17876,27.21396,0.08306234,2023.150684931507
(51364) 2000 SU333,11.66,5.2755353,0.0988381,14.17099,87.0481,5.73814,233.06948,0.08134002,2023.150684931507
(51365) 2000 TA42,10.76,5.215014,0.0568403,30.21235,18.39647,257.9472,27.37166,0.08276007,2023.150684931507
(51378) 2001 AT33,11.64,5.145895,0.0519298,33.68554,302.41855,124.77611,358.58258,0.08443309,2023.150684931507
(51405) 2001 DL106,12.48,5.3178661,0.0704303,1.85412,153.12628,203.06177,63.37333,0.08037074,2023.150684931507
(51910) 2001 QQ60,11.75,5.162786,0.0864648,32.63121,8.64844,299.10881,353.01582,0.08401907,2023.150684931507
(51935) 2001 QK134,12.18,5.1994032,0.0920969,13.02169,270.69515,158.67615,231.66459,0.08313307,2023.150684931507
(51958) 2001 QJ256,11.69,5.1050117,0.1098656,17.58295,15.32566,278.0,358.50905,0.08544939,2023.150684931507
(51962) 2001 QH267,11.62,5.1860069,0.0572665,18.55054,288.10404,302.52404,59.41959,0.0834554,2023.150684931507
(51969) 2001 QZ292,12.23,5.2178119,0.0219686,25.63971,348.42076,307.95931,357.51438,0.08269351,2023.150684931507
(51984) 2001 SS115,12.29,5.144909,0.0694628,9.66135,30.32792,319.55427,326.14299,0.08445736,2023.150684931507
(51994) 2001 TJ58,12.4,5.2274201,0.0780578,12.32202,19.79523,121.56665,174.35696,0.08246563,2023.150684931507
(52273) 1988 RQ10,12.59,5.2065935,0.0875362,11.72883,154.58383,268.1306,257.74711,0.08296092,2023.150684931507
(52275) 1988 RS12,12.73,5.2239489,0.0642607,3.61089,238.03744,159.14356,268.1119,0.08254784,2023.150684931507
(52278) 1988 SG3,12.21,5.1746987,0.0878353,19.60531,81.159,232.87978,358.21161,0.08372911,2023.150684931507
(52511) 1996 GH12,12.19,5.2460481,0.0659618,9.40326,123.28456,102.18805,86.97101,0.08202678,2023.150684931507
(52567) 1997 HN2,12.02,5.1575036,0.0713856,21.47766,54.36842,221.49413,28.28678,0.08414819,2023.150684931507
(52645) 1997 XR13,12.63,5.2005938,0.0442901,11.95319,60.56125,26.12352,19.96101,0.08310452,2023.150684931507
(52767) Ophelestes,11.89,5.2898698,0.0251888,12.80696,98.46362,201.99347,359.76712,0.08100962,2023.150684931507
(53418) 1999 PY3,11.8,5.15039,0.0947591,26.37075,148.53786,130.24558,33.75761,0.08432258,2023.150684931507
(53419) 1999 PJ4,12.27,5.1843157,0.0913367,30.60243,342.68994,348.17421,3.50951,0.08349624,2023.150684931507
(53436) 1999 VB154,11.48,5.0570618,0.0116855,18.27297,104.20976,303.10777,21.82808,0.08666758,2023.150684931507
(53449) 1999 XG132,12.06,5.2174757,0.1184565,19.84557,290.03148,213.56953,300.75431,0.08270151,2023.150684931507
(53469) 2000 AX8,12.57,5.1233598,0.0646945,7.35883,11.6058,11.15005,65.68514,0.08499078,2023.150684931507
(53477) 2000 AA54,11.91,5.2891326,0.0323746,11.0253,303.61664,114.2087,27.97341,0.08102656,2023.150684931507
(54581) 2000 QW170,12.48,5.1701716,0.100314,5.45702,256.9776,101.80784,324.92337,0.08383911,2023.150684931507
(54582) 2000 QU179,12.69,5.1662058,0.0878326,2.89241,101.32418,242.90335,340.13388,0.08393566,2023.150684931507
(54596) 2000 QD225,12.67,5.0814184,0.0736116,5.35091,147.27946,155.87434,15.35726,0.0860452,2023.150684931507
(54614) 2000 RL84,13.21,5.1933162,0.1378404,11.81006,183.89605,198.35001,301.58251,0.08327927,2023.150684931507
(54625) 2000 SC49,12.57,5.2779883,0.0509688,11.24412,198.13644,135.1074,317.55198,0.08128332,2023.150684931507
(54626) 2000 SJ49,12.44,5.1615733,0.0639462,9.78468,217.87392,135.31605,336.67281,0.08404868,2023.150684931507
(54632) 2000 SD130,12.45,5.1777837,0.1124829,17.99997,261.382,67.00692,339.746,0.08365429,2023.150684931507
(54634) 2000 SA132,12.61,5.1711749,0.1051802,20.25833,261.13661,47.58699,21.04368,0.08381471,2023.150684931507
(54638) 2000 SC144,12.44,5.3028989,0.005289,4.1176,25.39375,262.34533,35.40606,0.08071125,2023.150684931507
(54643) 2000 SP283,12.44,5.1837334,0.0733505,11.41479,325.42502,265.82159,84.14218,0.08351031,2023.150684931507
(54645) 2000 SR284,12.37,5.2534923,0.090815,16.74917,234.98593,53.20313,32.6107,0.08185249,2023.150684931507
(54646) 2000 SS291,12.71,5.2373301,0.1096091,3.56156,259.31485,53.55809,7.91056,0.08223168,2023.150684931507
(54649) 2000 SE310,12.14,5.2503858,0.1116947,25.21608,290.74896,23.61981,3.0776,0.08192515,2023.150684931507
(54652) 2000 SZ344,12.1,5.1823134,0.0444934,17.734,118.52102,210.64267,352.30073,0.08354463,2023.150684931507
(54653) 2000 SB350,12.44,5.2327855,0.052815,16.46457,97.6984,258.36001,334.05408,0.08233883,2023.150684931507
(54655) 2000 SQ362,12.3,5.1467924,0.0933587,17.44245,131.55072,213.85775,336.01147,0.08441101,2023.150684931507
(54656) 2000 SX362,10.7,5.2937918,0.0798643,32.78938,120.79161,179.25217,28.95453,0.08091961,2023.150684931507
(54672) 2000 WO180,11.87,5.2749066,0.1396397,28.14065,64.5283,287.72152,309.90418,0.08135456,2023.150684931507
(54678) 2000 YW47,12.41,5.1421868,0.081557,11.15848,274.17813,202.19118,321.03787,0.08452444,2023.150684931507
(54680) 2001 AS9,12.14,5.1818787,0.0355962,11.85906,268.5648,264.15932,265.93207,0.08355515,2023.150684931507
(54689) 2001 DH101,12.22,5.1982641,0.1154013,12.89508,9.33555,40.58027,13.66,0.0831604,2023.150684931507
(55060) 2001 QM73,11.21,5.1073006,0.0476921,26.57714,105.88937,179.0752,35.15311,0.08539195,2023.150684931507
(55267) 2001 RP132,12.05,5.131874,0.0312695,17.35013,15.67291,19.24977,261.26122,0.08477935,2023.150684931507
(55419) 2001 TF19,11.26,5.2520643,0.0460241,28.69261,110.45604,168.25838,16.5796,0.08188588,2023.150684931507
(55441) 2001 TS87,12.66,5.1937657,0.0376649,10.947,237.51456,312.67171,117.665,0.08326846,2023.150684931507
(55457) 2001 TH133,12.16,5.1378989,0.1810931,16.21995,77.89211,262.41969,335.50849,0.08463027,2023.150684931507
(55460) 2001 TW148,12.28,5.1829457,0.0346046,7.85785,126.72028,109.64336,83.75097,0.08352935,2023.150684931507
(55474) 2001 TY229,12.07,5.1949164,0.0926356,18.00255,149.60972,326.73244,190.174,0.0832408,2023.150684931507
(55496) 2001 UC73,11.92,5.2512218,0.0452436,9.47771,101.58667,188.55154,30.94285,0.08190559,2023.150684931507
(55563) 2002 AW34,11.81,5.1376745,0.0454924,29.58543,313.1309,54.85201,74.29005,0.08463582,2023.150684931507
(55568) 2002 CU15,11.54,5.1283875,0.0345698,25.73503,43.09933,322.25016,72.936,0.08486582,2023.150684931507
(55571) 2002 CP82,12.23,5.1900217,0.0854067,12.07115,148.7598,165.27272,127.65713,0.08335858,2023.150684931507
(55574) 2002 CF245,12.16,5.2177751,0.0765492,7.66451,286.19017,16.69757,138.40516,0.08269439,2023.150684931507
(55578) 2002 GK105,11.52,5.321116,0.0614249,20.40177,43.05979,83.54753,309.88819,0.08029712,2023.150684931507
(55676) Klythios,12.56,5.2359764,0.0386401,11.81889,354.72655,213.21587,102.78244,0.08226357,2023.150684931507
(55678) Lampos,12.47,5.2340209,0.0989146,7.38385,212.09314,284.51155,179.1414,0.08230968,2023.150684931507
(55701) Ukalegon,12.72,5.1583254,0.1407997,20.96398,227.36696,106.51303,347.05801,0.08412808,2023.150684931507
(55702) Thymoitos,12.36,5.2312132,0.0305028,9.33775,254.53588,189.91699,237.06662,0.08237595,2023.150684931507
(56355) 2000 AX130,12.43,5.2842354,0.0383557,2.53438,186.78764,259.57047,343.68232,0.08113922,2023.150684931507
(56951) 2000 SK2,12.01,5.137512,0.024498,13.39976,61.73924,211.13082,42.74164,0.08463983,2023.150684931507
(56962) 2000 SW65,12.42,5.2703623,0.0841608,15.19362,183.04192,150.19033,336.94205,0.08145981,2023.150684931507
(56968) 2000 SA92,11.86,5.2012478,0.0361922,14.42477,234.04564,257.64239,174.44784,0.08308885,2023.150684931507
(56976) 2000 SS161,11.65,5.239625,0.0351136,13.24263,76.19746,322.17038,274.23551,0.08217766,2023.150684931507
(57013) 2000 TD39,12.01,5.2497167,0.055148,17.59272,21.05631,272.51543,1.65212,0.08194081,2023.150684931507
(57041) 2001 EN12,12.16,5.3114853,0.0756163,9.16462,73.21485,22.92618,335.4216,0.08051561,2023.150684931507
(57626) 2001 TE165,12.38,5.2060043,0.0704898,11.9765,118.19704,185.76373,20.8807,0.08297501,2023.150684931507
(57644) 2001 TV201,12.42,5.1000237,0.053763,12.58823,104.11439,232.84166,347.79218,0.08557478,2023.150684931507
(57714) 2001 UY124,11.79,5.2312526,0.0248351,16.59332,126.42697,315.26579,242.35926,0.08237502,2023.150684931507
(57904) 2002 ER25,12.28,5.2483593,0.0716817,1.99316,194.25118,224.7026,13.91994,0.08197261,2023.150684931507
(57910) 2002 ED61,12.45,5.1666306,0.0403064,4.35114,200.98737,257.18397,350.53831,0.08392531,2023.150684931507
(57915) 2002 EB110,12.58,5.2404118,0.0383623,14.87572,19.33161,127.83359,303.04648,0.08215915,2023.150684931507
(57920) 2002 EL153,12.56,5.261823,0.0385639,4.61876,188.79289,240.72167,29.01209,0.08165818,2023.150684931507
(58008) 2002 TW240,11.71,5.1738368,0.0428569,17.35857,90.84478,340.09908,230.48543,0.08375003,2023.150684931507
(58084) Hiketaon,12.87,5.1876812,0.1377739,7.95936,266.88859,99.66231,303.1748,0.083415,2023.150684931507
(58096) Oineus,12.85,5.2212528,0.1161114,3.591,41.2553,26.5299,17.77933,0.08261178,2023.150684931507
(58153) 1988 RH11,12.81,5.1694459,0.1085495,1.91416,184.50068,131.74106,344.39194,0.08385676,2023.150684931507
(58366) 1995 OD8,13.29,5.1823801,0.0682203,10.70327,171.80935,259.31544,21.2346,0.08354302,2023.150684931507
(58473) 1996 RN7,13.06,5.2199433,0.0461469,5.08754,175.14545,13.69592,249.55433,0.08264287,2023.150684931507
(58475) 1996 RE11,13.23,5.1433186,0.0361806,3.67932,9.67633,148.58188,282.57377,0.08449654,2023.150684931507
(58478) 1996 RC29,12.61,5.2579695,0.0682046,2.6164,205.44873,181.15806,42.89382,0.08174797,2023.150684931507
(58479) 1996 RJ29,12.66,5.2226793,0.0353126,8.36555,140.77577,192.15667,113.41084,0.08257794,2023.150684931507
(58480) 1996 RJ33,12.48,5.1852478,0.0275781,7.01163,51.38848,340.31539,55.00343,0.08347372,2023.150684931507
(58931) Palmys,11.67,5.2568388,0.0994071,16.41142,119.56639,134.75443,47.38176,0.08177435,2023.150684931507
(59049) 1998 TC31,11.73,5.1467495,0.1230986,24.21561,226.13144,220.88178,350.72191,0.08441206,2023.150684931507
(59355) 1999 CL153,13.05,5.236765,0.0876952,0.81318,214.92389,320.45461,270.73364,0.08224499,2023.150684931507
(60257) 1999 WB25,13.12,5.0762796,0.0344861,2.27862,91.4018,36.40831,320.93747,0.08617589,2023.150684931507
(60313) 1999 XW218,12.79,5.295888,0.0778961,3.38489,123.34814,327.47593,348.23086,0.08087157,2023.150684931507
(60322) 1999 XB257,12.22,5.144717,0.023168,10.31475,128.95095,298.30855,350.57491,0.08446209,2023.150684931507
(60328) 2000 AH7,12.23,5.2119831,0.0609436,10.35055,299.63234,161.65061,322.11014,0.08283227,2023.150684931507
(60383) 2000 AR184,11.18,5.2824311,0.0719151,15.12526,248.10959,71.56337,122.7786,0.0811808,2023.150684931507
(60388) 2000 AY217,13.35,5.1273549,0.0592645,1.96373,112.45735,353.68511,6.76309,0.08489146,2023.150684931507
(60399) 2000 AY253,12.78,5.2463161,0.1279435,4.28789,119.06257,299.27261,22.62232,0.0820205,2023.150684931507
(60401) 2000 BQ21,11.92,5.2683103,0.0423828,8.55051,313.94118,115.38535,36.84384,0.0815074,2023.150684931507
(60421) 2000 CZ31,12.46,5.2772666,0.0335186,6.69145,174.06567,272.74611,27.34251,0.0813,2023.150684931507
(61610) 2000 QK95,12.48,5.2622165,0.0968201,12.23973,354.43625,32.89307,282.39735,0.08164903,2023.150684931507
(61896) 2000 QG227,12.84,5.1575484,0.0633888,6.23874,245.66169,116.39277,320.91929,0.08414709,2023.150684931507
(62114) 2000 RV99,12.31,5.1843663,0.1808787,16.1376,278.54775,65.17305,331.14481,0.08349502,2023.150684931507
(62201) 2000 SW54,12.43,5.2377993,0.0597424,4.61571,185.23937,131.67113,350.3455,0.08222063,2023.150684931507
(62426) 2000 SX186,11.96,5.230121,0.0771721,31.20581,214.37738,351.9231,110.36368,0.08240176,2023.150684931507
(62692) 2000 TE24,12.42,5.2338468,0.0586648,19.11055,246.64659,38.28099,43.43073,0.08231378,2023.150684931507
(62714) 2000 TB43,12.15,5.2525533,0.0402673,8.94171,71.37511,349.67333,266.52339,0.08187444,2023.150684931507
