# kind of model: King
#
# Model parameters:
# W_0: 12.0
# limiting radius: 549.297
# core radius: 0.992861
# concentration: 2.73981
# half-light radius: 60.1087
# half-mass radius: 82.0984
# central log slope: 0
# M_BH/M: 0
# ----------------------------
# r= radius (arbitrary units. r_king=1)
# the following quantities are normalised to their central value
# s= surface density
# sigma_p = line-of-sight velocity dispersion
# rho = 3D volume density
#
r s sigma_p rho
0.00099999967059 1 1 1
0.00251188868695 0.99999467522417 1.0000020110204 0.99999300422405
0.00630957208334 0.99996095164394 1.0000090495918 0.99994263463721
0.0158489408569 0.9997373110592 1.0000271487753 0.99962642556424
0.039810747517 0.99828542218373 1.0000774242851 0.99762983110798
0.099999967059 0.99011899099048 1.0003690222419 0.98517874907131
0.10985014104 0.98808670154986 1.000395165507 0.98215797301589
0.120670340218 0.9856426294453 1.0004233197925 0.97853276191835
0.13255687211 0.98270867796466 1.0004514740779 0.97418698589791
0.145613987121 0.97919077606833 1.0004796283634 0.96898352774595
0.159957849988 0.97497532853867 1.0005067771387 0.96276288377078
0.175713561197 0.96993454075583 1.000533925914 0.95534176464251
0.19302210701 0.96391576914612 1.0005590636689 0.94650889792743
0.21203539516 0.95674684595779 1.0005811848932 0.93602222977766
0.232921219156 0.94822897955996 1.0006002895869 0.9236131223967
0.255864251144 0.93814207921846 1.0006133612195 0.90898635403943
0.281068027629 0.92624120524526 1.0006193942807 0.8918257156329
0.308752963753 0.912260118849 1.0006173832603 0.87179960739705
0.339166281905 0.89592548153723 1.0006023006073 0.84857782870703
0.372575061694 0.8769568551164 1.0005741463218 0.821852565421
0.409274182837 0.85508622586989 1.0005268873426 0.79136217551842
0.449589303742 0.83007752873604 1.0004575071391 0.75692336966939
0.493874875786 0.80175504611256 1.0003609781603 0.71847458504555
0.542522086203 0.77002470695984 1.0002322728552 0.6761137625102
0.595961836667 0.73491313515701 1.0000633471423 0.63012912803249
0.654665736153 0.69658184890416 0.99984716245023 0.58103696987759
0.719151065242 0.65536275922784 0.99957366367695 0.52957604198585
0.78998971187 0.61174752042939 0.99923380123074 0.47669217326578
0.867805192745 0.56639107993553 0.99881651449946 0.42349069631756
0.953286553401 0.52006730516645 0.99830672083015 0.37115389727682
1.04719035392 0.47362816025445 0.99769034308008 0.32084307495134
1.15033868321 0.4279362588835 0.99695229859631 0.27360199911294
1.26364398053 0.38380274190457 0.99607348268511 0.23026176794452
1.3881189641 0.34192692987625 0.99503579616297 0.19139603507402
1.52485578102 0.30285549978346 0.99382214535655 0.15728463153948
1.6750557931 0.26696296085935 0.99241040904155 0.1279475652601
1.84004943408 0.23444455488424 0.99078550456502 0.10317468312633
2.02129620963 0.20534110513947 0.98892531070265 0.082596887999026
2.22040455457 0.17956209043599 0.98681977235249 0.06574504314295
2.43912190426 0.15691990117216 0.98445079033101 0.052110415730982
2.67937440904 0.13716480536169 0.98180328198528 0.041187351077419
2.94330664867 0.1200135249306 0.97887624180509 0.03250447379872
3.23322206067 0.10517284222334 0.97566062019869 0.025643156662007
3.55170208364 0.092355751822848 0.97214435104372 0.020243676867907
3.90155651421 0.081293530042385 0.96833145638097 0.01600507613503
4.28586322148 0.071741769671497 0.96423199131239 0.012681900668376
4.70803764729 0.063483042363916 0.95982584563407 0.010076645721313
5.17178316317 0.05632672114504 0.95511402485621 0.0080318503687474
5.68122014227 0.050108980411925 0.95012669428468 0.0064239272327369
