# kind of model: King
#
# Model parameters:
# W_0: 8.0
# limiting radius: 68.1929
# core radius: 0.966644
# concentration: 1.83374
# half-light radius: 5.0244
# half-mass radius: 6.87239
# central log slope: 0
# M_BH/M: 0
# ----------------------------
# r= radius (arbitrary units. r_king=1)
# the following quantities are normalised to their central value
# s= surface density
# sigma_p = line-of-sight velocity dispersion
# rho = 3D volume density
#
r s sigma_p rho
0.00100000288444 1 1 1
0.00251188243264 0.99999369029441 1.0000020535483 0.99999160505711
0.0063095753812 0.99995793529607 1.0000092409675 0.9999412353998
0.0158489016952 0.99972657942447 1.0000225890316 0.99962222757011
0.039810749818 0.99823117919985 1.0000472316115 0.99761583622026
0.100000288444 0.98982244488472 1.0002187028967 0.98509617806234
0.107532378492 0.98824081201704 1.0002115154776 0.98279876202576
0.115630921924 0.98641520386659 1.000201247736 0.98015295585939
0.124340384364 0.98431196867021 1.0001858461235 0.97710699074877
0.13370619808 0.98189114495918 1.0001653106403 0.97360350125085
0.143776695272 0.97910435832397 1.0001365609637 0.96957812613682
0.154606008004 0.97590113111989 1.000100623868 0.9649553109207
0.166251168272 0.97222046952623 1.0000554458048 0.95965530364508
0.178773074648 0.9679971732519 0.99999794645167 0.95358296162392
0.192238425568 0.96315552582983 0.99992709903442 0.94663894469971
0.206717786044 0.95761139785218 0.99984085000472 0.93870852198636
0.222287520952 0.95127645344068 0.99973509226593 0.92966996681199
0.239030761676 0.94404763407073 0.9996077722697 0.91939035924759
0.257034506176 0.9358155715121 0.99945580969357 0.90772838442122
0.276394452208 0.9264624845938 0.99927304389254 0.89453713083239
0.297212097392 0.91586428243925 0.99905639454413 0.87965989288053
0.319598605788 0.90389266770146 0.9987986742292 0.8629455615937
0.34367094132 0.89041093009267 0.99849474907693 0.84424162884278
0.369555734352 0.8752928755011 0.99813743166818 0.82341097722732
0.397391214976 0.85840600010937 0.99771748103548 0.80033048091829
0.427322379792 0.83963883245208 0.99722873653386 0.77490919470111
