# kind of model: King
#
# Model parameters:
# W_0: 4.0
# limiting radius: 6.9217
# core radius: 0.821627
# concentration: 0.84021
# half-light radius: 1.16632
# half-mass radius: 1.54221
# central log slope: 0
# M_BH/M: 0
# ----------------------------
# r= radius (arbitrary units. r_king=1)
# the following quantities are normalised to their central value
# s= surface density
# sigma_p = line-of-sight velocity dispersion
# rho = 3D volume density
#
r s sigma_p rho
0.0010000022217 1 1 1
0.00251188628067 0.99999303485359 1.0000023723582 0.99999160449328
0.00630956951872 0.99994427882874 1.0000059308956 0.99993563444844
0.0158489383419 0.99965870782604 0.99999881382088 0.99957742616152
0.0398107038445 0.99778508344245 0.99986477558084 0.99732743035927
0.10000022217 0.98733736383139 0.99936420799414 0.98330273637549
0.104814134763 0.98609756777087 0.99926456894844 0.98167820582424
0.109860567797 0.98473936422144 0.99915306811159 0.97989835839859
0.115149380796 0.98324185774385 0.99902851930447 0.97794920158731
0.120693719792 0.98161201348452 0.99889092252708 0.97581254512585
0.126504265936 0.97982197085783 0.99873790542119 0.97347579575411
0.132594986887 0.97785779957095 0.99856709562857 0.97091656545417
0.13897820705 0.97571253447747 0.99837849314922 0.96811666396145
0.145669537338 0.97335831499178 0.99816972562491 0.96505510250914
0.152682123783 0.97078817596746 0.9979384206974 0.96170809382818
0.160033220552 0.96797425681888 0.99768220600847 0.95805045139841
0.167737616931 0.96489566210682 0.99739870919989 0.95405558944853
0.175813388714 0.96153846153846 0.99708555791342 0.94969552295611
0.184277790068 0.95786782938177 0.99673919361171 0.94493946839651
0.193149718414 0.95386287019753 0.99635724393655 0.93975524299395
0.2024488928 0.9494887582537 0.99593496417146 0.93410926472152
0.212195853901 0.94472459811105 0.9954687957791 0.92796235454785
0.222411964019 0.93953556403756 0.99495518022212 0.9212795311949
0.233119407083 0.93389379544758 0.99438937278407 0.91401881712907
0.244342831903 0.92775053631627 0.99376544256936 0.90613963406785
0.256106887289 0.92107792605801 0.99307983104065 0.89759860522648
0.268437043678 0.91384113894074 0.99232542112324 0.88835235382024
0.281360414761 0.90599838408603 0.99149628192156 0.87835470456212
0.29490657911 0.89750787061544 0.99059004107738 0.86756088141627
0.30910429367 0.88833477279692 0.98960195387424 0.85594289936026
0.323985601894 0.87843729975204 0.9885142276254 0.84350635539859
0.339584190489 0.86775973030953 0.98731855907706 0.83015050345055
0.355932924535 0.85627420388377 0.98600427261717 0.81583336598253
0.373068777247 0.8439389295963 0.98456069263371 0.80051996171649
0.391030365094 0.8307190817151 0.98297832969374 0.78418090637891
0.409856304545 0.81657983450812 0.98124769436434 0.7667910134496
0.429588498577 0.80150029253615 0.97936760046641 0.74832929416176
0.450270493421 0.78545259521355 0.97732381385054 0.72885031930911
0.471948300189 0.76842281224751 0.9750819353224 0.70838067466292
0.494670394874 0.75039701334522 0.97262891691171 0.68685179691829
0.518485253469 0.73136126821386 0.9699505244691 0.66428607409315
0.543447924983 0.71135040258546 0.96706455068128 0.64072268521887
0.569611815171 0.69038182932605 0.96392354838365 0.61634912994565
0.59703525955 0.66847296130165 0.96049193220275 0.59116121052013
0.625779058518 0.64567046499317 0.95677207449679 0.56517851645799
0.655906477354 0.62204817095255 0.95278058177341 0.53855356613141
0.687484889472 0.59766737246817 0.94842255970336 0.51152703073315
0.72058331154 0.57260677569443 0.94372884894365 0.48403874246503
0.755274868361 0.5469771264592 0.93868047062843 0.45634056652879
0.791636792873 0.52087454378291 0.93320032311519 0.42860880856566
0.82975289103 0.49443066893266 0.92738092837495 0.40086305809131
0.86970039577 0.46776739197058 0.9210538489733 0.37350210167518
0.91157050769 0.44102192628089 0.91437091583703 0.34640560372089
0.95545360576 0.41433496782102 0.90713522323298 0.32002412308932
1.00145650149 0.38783815785808 0.89948080940118 0.29423872343522
1.04966957385 0.36168194355445 0.89128075317629 0.26939362053429
1.10020785062 0.33598403588443 0.88253624073742 0.24549021363766
1.15316992704 0.3108962750397 0.87335165584674 0.22263344657939
1.2086954797 0.28653149639205 0.86355144399515 0.20104440103657
1.26688310384 0.26298094335943 0.85316407348142 0.18065311445314
1.32787247605 0.24036163040147 0.84229748660507 0.16152535163181
1.39180327292 0.21876062184827 0.83085916139509 0.14377725041558
1.45881517104 0.1982287632686 0.81880283686597 0.12737047132375
1.529047847 0.1788162037166 0.80614274716711 0.11227632970834
1.6026656262 0.16056473407071 0.79289668498523 0.098478874106578
1.67982461777 0.14350012537264 0.77908125682794 0.085945641892459
1.76069736338 0.12763212882735 0.76471425538199 0.074630877554333
1.84546462097 0.11295935140557 0.74983482455818 0.064477211796247
1.93430714848 0.099462987211991 0.7344121236995 0.055426715621799
2.02743856893 0.087110300058507 0.71843429101481 0.047398232465984
